CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_ID_PUBLISH,FLAG_PHONE,CNT_FAM_MEMBERS,HOUR_APPR_PROCESS_START,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,NONLIVINGAREA_AVG,FLOORSMAX_MODE,FLOORSMIN_MODE,FLOORSMAX_MEDI,OBS_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Married,EMERGENCYSTATE_MODE_No,DAYS_EMPLOYED_PERC,ANNUITY_INCOME_PERC,PAYMENT_RATE,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_ENDDATE_MAX,BURO_AMT_CREDIT_SUM_SUM,BURO_AMT_CREDIT_SUM_DEBT_SUM,BURO_CREDIT_ACTIVE_Closed_MEAN,BURO_CREDIT_TYPE_Consumer credit_MEAN,BURO_CREDIT_TYPE_Credit card_MEAN,ACTIVE_DAYS_CREDIT_MAX,ACTIVE_DAYS_CREDIT_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,ACTIVE_MONTHS_BALANCE_SIZE_SUM,CLOSED_DAYS_CREDIT_MAX,CLOSED_AMT_CREDIT_SUM_SUM,CLOSED_AMT_ANNUITY_MAX,PREV_APP_CREDIT_PERC_MIN,PREV_APP_CREDIT_PERC_MAX,PREV_APP_CREDIT_PERC_VAR,PREV_HOUR_APPR_PROCESS_START_MAX,PREV_RATE_DOWN_PAYMENT_MAX,PREV_CNT_PAYMENT_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,PREV_NAME_CLIENT_TYPE_New_MEAN,PREV_NAME_GOODS_CATEGORY_XNA_MEAN,PREV_NAME_PRODUCT_TYPE_XNA_MEAN,PREV_CHANNEL_TYPE_Country-wide_MEAN,PREV_NAME_YIELD_GROUP_high_MEAN,PREV_NAME_YIELD_GROUP_low_normal_MEAN,PREV_NAME_YIELD_GROUP_middle_MEAN,APPROVED_AMT_ANNUITY_MEAN,APPROVED_APP_CREDIT_PERC_MAX,APPROVED_AMT_DOWN_PAYMENT_MAX,APPROVED_HOUR_APPR_PROCESS_START_MIN,APPROVED_HOUR_APPR_PROCESS_START_MAX,APPROVED_RATE_DOWN_PAYMENT_MIN,APPROVED_DAYS_DECISION_MIN,APPROVED_CNT_PAYMENT_MEAN,REFUSED_CNT_PAYMENT_SUM,POS_MONTHS_BALANCE_MAX,POS_MONTHS_BALANCE_SIZE,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,INSTAL_DPD_MAX,INSTAL_DPD_SUM,INSTAL_DBD_SUM,INSTAL_PAYMENT_PERC_VAR,INSTAL_PAYMENT_DIFF_MAX,INSTAL_AMT_PAYMENT_MIN,INSTAL_AMT_PAYMENT_MEAN,INSTAL_AMT_PAYMENT_SUM,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,CC_AMT_DRAWINGS_ATM_CURRENT_SUM,CC_CNT_DRAWINGS_ATM_CURRENT_MAX,CC_CNT_DRAWINGS_ATM_CURRENT_SUM,CC_CNT_INSTALMENT_MATURE_CUM_MIN,TARGET
0,1,1,0.0,157500.0,840951.0,35761.5,679500.0,0.010006,-21169.0,-1525.0,-4210.0,0.0,1.0,14.0,0.5059979305057544,0.6459037593451422,0.5352762504724826,0.003,0.0417,0.0833,0.0417,0.0,0.0,-821.0,1.0,2.0,0.0,1.0,0.0,0.0,0.1124933475252794,0.2270571428571428,0.0425250698316548,-2771.0,-914.0,936000.0,0.0,1.0,1.0,0.0,-232.0,-518.0,271.0,889.0,584.0,0.0,-694.0,936000.0,4611.51,0.949868073878628,1.0,0.0012566050083193,10.0,0.0,12.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,24872.3775,1.0,0.0,10.0,10.0,0.0,-821.0,12.0,18.0,-23.0,5.0,2.0,0.0,0.0,30.0,0.0,0.0,8196.255,15327.78,45983.34,-770.0,45000.0,3.0,2.0,0.0,0.0
1,0,1,0.0,180000.0,314055.0,13437.0,238500.0,0.025164,-22169.0,-1525.0,-5038.0,0.0,1.0,8.0,0.5059979305057544,0.1591254435506384,0.7047064232963289,0.0,0.0833,0.125,0.0833,2.0,2.0,-157.0,0.0,3.0,0.0,1.0,0.0,1.0,0.1124933475252794,0.07465,0.0427854993552084,-2684.0,778.0,1348996.5,109422.0,0.625,1.0,0.0,-99.0,-204.66666666666663,167.0,778.0,465.0,0.0,-159.0,661086.0,4611.51,0.8347245409015025,1.120148984741079,0.0112068243104628,13.0,0.1168176455101264,20.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,6991.0650000000005,1.120148984741079,9000.0,11.0,13.0,0.0,-2802.0,12.0,96.0,-3.0,32.0,3.0,20.0,0.0,593.0,0.0475733864796208,7970.265,3.465,5580.533846153846,652922.46,-2126.008547008547,270450.0,4.0,20.0,1.0,0.0
1,0,1,2.0,270000.0,505665.0,50377.5,450000.0,0.035792,-10926.0,-575.0,-3354.0,0.0,4.0,13.0,0.5059979305057544,0.2654055331869692,0.4578995512067301,0.001,0.1667,0.2083,0.1667,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.052626761852462,0.1865833333333333,0.0293152614806105,-1876.0,2653.0,1894501.665,221229.0,0.8,0.8,0.2,-1002.0,-1002.0,271.0,2653.0,2653.0,0.0,-1006.0,634501.665,4611.51,0.907737554918122,0.907737554918122,0.0068980835601896,16.0,0.1042815951254011,12.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10974.358928571428,0.907737554918122,4698.0,16.0,16.0,0.0,-545.0,12.0,18.0,-10.0,9.0,2.0,0.0,0.0,28.0,0.0,0.0,1667.385,11305.755,1518081.57,-426.0,45000.0,3.0,2.0,0.0,0.0
1,0,0,0.0,225000.0,855000.0,49212.0,855000.0,0.003069,-22887.0,-1525.0,-4724.0,0.0,2.0,11.0,0.5059979305057544,0.6602749280572732,0.7738956942145427,0.001,0.1667,0.2083,0.1667,2.0,1.0,-783.0,1.0,3.0,0.0,1.0,1.0,0.0,0.1124933475252794,0.21872,0.0575578947368421,-2586.0,213.0,526918.5,0.0,1.0,1.0,0.0,-232.0,-518.0,271.0,889.0,584.0,0.0,-1613.0,526918.5,4611.51,0.9498337429521468,1.0,0.0007254355291893,15.0,0.0,12.0,0.4,0.4,0.2,0.2,0.6,0.8,0.0,0.0,0.4,0.2,10974.358928571428,0.9579222670992518,0.0,10.0,15.0,0.0,-783.0,6.0,24.0,-2.0,14.0,2.0,0.0,0.0,130.0,0.0,0.0,17085.15,35766.773181818186,393434.505,-444.7272727272728,45000.0,3.0,2.0,0.0,0.0
1,0,0,0.0,90000.0,388512.0,31279.5,360000.0,0.00733,-18052.0,-4610.0,-980.0,0.0,2.0,17.0,0.5059979305057544,0.6077130111298735,0.7001838506835805,0.0219,0.1667,0.2083,0.1667,5.0,5.0,-311.0,1.0,0.0,1.0,0.0,1.0,1.0,0.2553733658320408,0.34755,0.0805110266864344,-2404.0,-701.0,112410.0,0.0,1.0,1.0,0.0,-232.0,-518.0,271.0,889.0,584.0,0.0,-885.0,112410.0,4611.51,1.0,1.0000318003913895,3.370882975085178e-10,20.0,3.463241584338514e-05,12.0,0.25,0.25,0.25,0.25,0.75,0.5,0.0,0.0,0.0,0.25,2250.0,1.0,4698.0,13.0,13.0,0.0,-311.0,0.0,24.0,-3.0,21.0,1.0,0.0,0.0,95.0,0.0316815841142857,2119.995,130.005,17464.461428571427,489004.92,-150.28571428571428,0.0,0.0,0.0,0.0,0.0
1,1,1,0.0,99000.0,193392.0,12721.5,153000.0,0.025164,-8961.0,-384.0,-1598.0,0.0,1.0,15.0,0.2748714202631609,0.3018728021854883,0.5352762504724826,0.001,0.375,0.4167,0.375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0428523602276531,0.1285,0.0657809009679821,-615.0,641.0,225000.0,0.0,1.0,1.0,0.0,-232.0,-518.0,271.0,889.0,584.0,0.0,-615.0,225000.0,4611.51,0.9498151082937136,0.9498151082937136,0.0068980835601896,16.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0666666666666666,0.0,9029.79,0.9498151082937136,0.0,16.0,16.0,0.0,-712.0,6.0,18.0,-22.0,2.0,1.0,0.0,0.0,24.0,0.0,0.0,1667.385,11305.755,51972.57,-705.0,45000.0,3.0,2.0,0.0,0.0
1,0,0,0.0,90000.0,152820.0,10080.0,135000.0,0.00733,-22057.0,-1525.0,-4853.0,0.0,2.0,16.0,0.5059979305057544,0.4865893389374672,0.4365064990977374,0.001,0.1667,0.2083,0.1667,2.0,2.0,-561.0,0.0,5.0,0.0,1.0,1.0,0.0,0.1124933475252794,0.112,0.0659599528857479,-2232.0,1541.0,702000.0,285948.0,0.25,0.75,0.25,-285.0,-1127.6666666666667,271.0,1541.0,-64.0,0.0,-1551.0,225000.0,4611.51,0.8632596685082873,1.0,0.0040475206755468,16.0,0.0,12.0,0.0,0.6,0.0,0.2,0.8,0.4,0.0,0.0,0.0,0.6,28256.775,1.0,0.0,13.0,16.0,0.0,-561.0,12.0,48.0,-2.0,28.0,3.0,0.0,0.0,296.0,0.0,0.0,3358.575,11305.755,1329297.39,-246.6296296296296,45000.0,3.0,2.0,0.0,0.0
1,0,1,0.0,270000.0,1575000.0,24543.0,450000.0,0.035792,-12368.0,-240.0,-3777.0,1.0,2.0,15.0,0.5059979305057544,0.6878726890411673,0.043827066851306,0.001,0.1667,0.2083,0.1667,0.0,0.0,-454.0,1.0,1.0,1.0,0.0,1.0,0.0,0.019404915912031,0.2375833333333333,0.0407285714285714,-182.0,627.0,492911.82,280780.155,0.0,1.0,0.0,-104.0,-142.33333333333334,101.0,627.0,435.6666666666667,13.0,-694.0,360000.0,4611.51,1.0,1.0,0.0068980835601896,15.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0666666666666666,0.0,11245.05,1.0,0.0,15.0,15.0,0.0,-454.0,10.0,18.0,-4.0,12.0,1.0,0.0,0.0,194.0,0.0,0.0,11242.845,11244.8295,112448.295,-303.4,45000.0,3.0,2.0,0.0,0.0
1,1,1,0.0,117000.0,490536.0,17748.0,405000.0,0.025164,-15318.0,-392.0,-3931.0,1.0,2.0,15.0,0.515811432074329,0.3467825726981351,0.4848514754962666,0.001,0.1667,0.2083,0.1667,0.0,0.0,-1751.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0255908081995038,0.1516923076923076,0.0361808307647145,-2194.0,1068.0,644871.1950000001,19894.5,0.6,0.8,0.2,-197.0,-254.0,111.0,1068.0,589.5,0.0,-911.0,374916.195,4611.51,1.0,1.0264290104486786,0.0068980835601896,13.0,0.1042815951254011,4.666666666666667,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,16375.919999999998,1.0232990503919828,11700.0,13.0,13.0,0.1013787779172394,-2512.0,4.666666666666667,18.0,-3.0,16.0,2.0,0.0,0.0,554.0,0.0,0.0,4.23,9621.97054054054,356012.91,-880.7837837837837,0.0,0.0,0.0,0.0,0.0
1,0,0,0.0,72000.0,157500.0,16267.5,157500.0,0.0116569999999999,-21535.0,-1525.0,-4492.0,0.0,2.0,15.0,0.5059979305057544,0.2840842918189193,0.7001838506835805,0.001,0.1667,0.2083,0.1667,2.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.1124933475252794,0.2259375,0.1032857142857142,-831.0,-557.0,200475.0,0.0,1.0,0.5,0.5,-232.0,-518.0,271.0,889.0,584.0,0.0,-547.0,200475.0,4611.51,0.9154155986818016,1.1872623574144487,0.0064772235198965,16.0,0.2089836450229752,9.333333333333334,0.3333333333333333,1.0,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.6666666666666666,10541.42,1.1872623574144487,11241.0,10.0,16.0,0.0,-1727.0,9.333333333333334,18.0,-2.0,21.0,2.0,4.0,8.0,743.0,0.0346438811329587,21905.730000000003,36.405,12056.740178571428,1012766.175,-692.6190476190476,45000.0,3.0,2.0,0.0,0.0
